id,项目名称,网址,控制价,下浮率,基准价
A3311011160012866,青田县泥湾新村生活污水零直排工程,http://lssggzy.lishui.gov.cn/art/2023/5/9/art_1229661956_210905.html,10347393.91,8.8,9436823.25
A3311011160012894,云和县实验小学改扩建工程(二期),http://lssggzy.lishui.gov.cn/art/2023/5/8/art_1229661989_210801.html,55330355.63,7.4,51235909.31
A3311011160012906,青田县湖边至姜处农村道路提升改造工程,http://lssggzy.lishui.gov.cn/art/2023/5/8/art_1229661956_210806.html,8355701.633,2,8188587.6
A3311011160012562,莲都工投大厦项目工程总承包（EPC）,http://lssggzy.lishui.gov.cn/art/2023/5/8/art_1229661852_210790.html,0,0,0
A3311011160012861,白云山脚幼儿园改造工程,http://lssggzy.lishui.gov.cn/art/2023/5/8/art_1229661852_210802.html,6090650,7.3,5646032.55
A3311011160012843,龙泉市江滨北路（公园路入口）整治改造工程设计采购施工（EPC）总承包,http://lssggzy.lishui.gov.cn/art/2023/5/8/art_1229661923_210805.html,0,0,0
A3311011160012852,龙泉市塔石岭后区块基础设施配套工程－场地工程,http://lssggzy.lishui.gov.cn/art/2023/5/8/art_1229661923_203362.html,0,0,0
A3311011160012822,青田县塔山大桥南接线工程,http://lssggzy.lishui.gov.cn/art/2023/5/7/art_1229661956_210694.html,0,4.5,0
A3311011160012882,浙西南公铁物流中心基础设施工程（一期）勘察设计,http://lssggzy.lishui.gov.cn/art/2023/5/6/art_1229662157_210413.html,0,0,0
A3311011160012814,青田县祯埠客运站改扩建工程,http://lssggzy.lishui.gov.cn/art/2023/5/6/art_1229661956_210475.html,7676645.099,4.3,7346549.36
A3311011160012804,仙渡乡节地生态安葬点项目,http://lssggzy.lishui.gov.cn/art/2023/5/6/art_1229661852_210754.html,5483378.998,8.2,5033741.92
A3311011160012885,元和街道竹坑村至伏布农村道路改造工程,http://lssggzy.lishui.gov.cn/art/2023/5/6/art_1229661989_210467.html,13046952.02,3,12655543.46
A3311011160012891,遂昌县2023年普通国道路基路面养护工程施工监理,http://lssggzy.lishui.gov.cn/art/2023/5/6/art_1229662124_210519.html,0,0,0
