序号,id,项目名称,网址,zbkzj,下浮率,kbjj,投标单位数量,city,province
81,A3311011160012894,云和县实验小学改扩建工程(二期),http://lssggzy.lishui.gov.cn/art/2023/5/8/art_1229661989_210801.html,55330355.63,7.4,51235909.31,220,丽水市,安徽省
82,A3311011160012861,白云山脚幼儿园改造工程,http://lssggzy.lishui.gov.cn/art/2023/5/8/art_1229661852_210802.html,6090650,7.3,5646032.55,149,丽水市,安徽省
83,A3311011160012906,青田县湖边至姜处农村道路提升改造工程,http://lssggzy.lishui.gov.cn/art/2023/5/8/art_1229661956_210806.html,8355701.633,2,8188587.6,87,丽水市,安徽省
84,A3311011160012814,青田县祯埠客运站改扩建工程,http://lssggzy.lishui.gov.cn/art/2023/5/6/art_1229661956_210475.html,7676645.099,4.3,7346549.36,118,丽水市,安徽省
85,A3311011160012804,仙渡乡节地生态安葬点项目,http://lssggzy.lishui.gov.cn/art/2023/5/6/art_1229661852_210754.html,5483378.998,8.2,5033741.92,207,丽水市,安徽省
86,A3311011160012885,元和街道竹坑村至伏布农村道路改造工程,http://lssggzy.lishui.gov.cn/art/2023/5/6/art_1229661989_210467.html,13046952.02,3,12655543.46,121,丽水市,安徽省
87,A3311011160012824,青田县环太鹤湖驿站工程,http://lssggzy.lishui.gov.cn/art/2023/5/5/art_1229661956_209747.html,7353449.891,8.4,6735760.1,151,丽水市,安徽省
88,A3311011160012807,丽水南城张村-9幼儿园项目,http://lssggzy.lishui.gov.cn/art/2023/5/5/art_1229661812_204014.html,36758186.32,4.5,35104067.94,191,丽水市,安徽省
89,A3311011160012844,石浦大桥西平交接线工程,http://lssggzy.lishui.gov.cn/art/2023/5/5/art_1229661956_204018.html,6010684.876,3,5830364.33,85,丽水市,安徽省
90,A3311011160012713,油竹街道环境提升及基础设施建设工程-江滨路提升改造（一期）,http://lssggzy.lishui.gov.cn/art/2023/5/5/art_1229661956_210410.html,32351427.97,8.4,29633908.02,261,丽水市,安徽省
91,A3311011160012849,青田县月里湾区块生活污水零直排工程,http://lssggzy.lishui.gov.cn/art/2023/5/4/art_1229661956_203988.html,17267478.09,7.7,15937882.28,227,丽水市,安徽省
92,A3311011160012792,茶山路延伸（石印路至鹤川路）道路工程,http://lssggzy.lishui.gov.cn/art/2023/4/28/art_1229662190_203814.html,33427872.76,7.5,30920782.3,204,丽水市,安徽省
93,A3311011160012806,丽水南城凯震商贸城区块截污纳管工程,http://lssggzy.lishui.gov.cn/art/2023/4/28/art_1229661812_203713.html,8197962.998,9.6,7410958.55,175,丽水市,安徽省
94,A3311011160012826,青田县景云小区生活污水零直排工程,http://lssggzy.lishui.gov.cn/art/2023/4/27/art_1229661956_203704.html,8243221.833,11.6,7287008.1,177,丽水市,安徽省
95,A3311011160012803,丽水经济技术开发区园区基础设施改造提升工程（二期）-江南路（成大街-通济街）提升改造工程,http://lssggzy.lishui.gov.cn/art/2023/4/27/art_1229661812_203700.html,39718749,8.3,36422092.83,219,丽水市,安徽省
96,A3311011160012867,青田县山水嘉苑小区生活污水零直排工程,http://lssggzy.lishui.gov.cn/art/2023/4/26/art_1229661956_203574.html,7235062.394,7.7,6677962.59,198,丽水市,安徽省
97,A3311011160012828,莲都区联城街道 LC01-B-30（联城东） 迁建安置小区工程,http://lssggzy.lishui.gov.cn/art/2023/4/25/art_1229661852_203441.html,5098904.497,6.6,4762376.8,167,丽水市,安徽省
98,A3311011160012855,碧湖派出所业务用房新建项目（二期）,http://lssggzy.lishui.gov.cn/art/2023/4/25/art_1229661852_203418.html,1972792.002,7.1,1832723.77,61,丽水市,安徽省
99,A3311011160012868,青田县城西村区块生活污水零直排工程,http://lssggzy.lishui.gov.cn/art/2023/4/25/art_1229661956_203474.html,9061879.777,10.2,8137568.04,218,丽水市,安徽省
100,A3311011160012864,青田县景都华庭小区生活污水零直排工程,http://lssggzy.lishui.gov.cn/art/2023/4/24/art_1229661956_203344.html,18292668.84,8.4,16756084.66,281,丽水市,安徽省
101,A3311011160012829,青田县阳光山庄小区污水零直排工程,http://lssggzy.lishui.gov.cn/art/2023/4/21/art_1229661956_203155.html,13966717.78,8.9,12723679.9,263,丽水市,安徽省
102,A3311011160012794,莲都区联城街道常白迁建安置小区工程,http://lssggzy.lishui.gov.cn/art/2023/4/20/art_1229661852_202855.html,6730782.998,9.6,6084627.83,194,丽水市,安徽省
103,A3311011160012817,中梁天悦湾幼儿园改造工程,http://lssggzy.lishui.gov.cn/art/2023/4/20/art_1229661852_202962.html,5723027,7,5322415.11,159,丽水市,安徽省
104,A3311011160012548,工业路周边地块基础设施项目,http://lssggzy.lishui.gov.cn/art/2023/4/20/art_1229661852_202944.html,27945207,6,26268494.58,270,丽水市,安徽省
105,A3311011160012810,鹤溪街道城南老旧小区（张村自建房区块）房屋立面改造项目,http://lssggzy.lishui.gov.cn/art/2023/4/20/art_1229662190_202903.html,9511581.87,8,8750655.32,134,丽水市,安徽省
106,A3311011160012763,庆元县实验小学濛洲校区进场道路工程,http://lssggzy.lishui.gov.cn/art/2023/4/19/art_1229662056_202758.html,8164288.357,8.1,7502981,362,丽水市,安徽省
107,A3311011160012750,缙云县新建镇洋山区块组团配套工程—工业三路等基础设施配套工程（工业五路、新南街、新建路）,http://lssggzy.lishui.gov.cn/art/2023/4/18/art_1229662089_202586.html,14355150.15,12.5,12560756.38,267,丽水市,安徽省
108,A3311011160012799,青田县阜山乡安店村古建筑修缮暨古道修复项目,http://lssggzy.lishui.gov.cn/art/2023/4/17/art_1229661956_202582.html,6245362.347,5.4,5908112.78,26,丽水市,安徽省
